,name,wikipedia_name,lat,lon,page,wiktor_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
0,Santa Maria,"Santa Maria, California",34.9514,-120.4333,http://en.wikipedia.org/wiki/Santa_Maria%2C_California,"Santa Maria, California 34.9514,-120.4333","Santa Maria, California "," 34.9514 , -120.4333 "," 34.951388888889 , -120.43333333333","Santa Maria, California 34.9514,-120.4333","[(34.95303, -120.43572), (34.95303, -120.43572), (34.95303, -120.43572)]",0.2839266175240437
1,Santa Maria,"Santa Maria, Bulacan",14.8208,120.9636,http://en.wikipedia.org/wiki/Santa_Maria%2C_Bulacan,"Santa Maria, Bulacan 14.8208,120.9636","Santa Maria, Bulacan "," 14.8208 , 120.9636 "," 14.818333333333 , 120.95633333333","Santa Maria, Bulacan 14.8208,120.9636","[(14.83333, 121.0), (14.83333, 121.0), (14.83333, 121.0), (14.83333, 121.0)]",4.981280030291024
2,Santa Maria,"Santa Maria, Ilocos Sur",17.3585,120.4981,http://en.wikipedia.org/wiki/Santa_Maria%2C_Ilocos_Sur,"Santa Maria, Ilocos Sur 17.3585,120.4981","Santa Maria, Ilocos Sur "," 17.3585 , 120.4981 "," 17.366666666667 , 120.48333333333","Santa Maria, Ilocos Sur 17.3585,120.4981","[(16.9518, 120.4445), (16.9518, 120.4445), (16.9518, 120.4445), (16.9518, 120.4445), (16.9518, 120.4445)]",46.31526985896983
3,Santa Maria,"Santa Maria, Romblon",12.4417,122.1042,http://en.wikipedia.org/wiki/Santa_Maria%2C_Romblon,"Santa Maria, Romblon 12.4417,122.1042","Santa Maria, Romblon "," 12.4417 , 122.1042 "," 12.441667 , 122.104167","Santa Maria, Romblon 12.4417,122.1042",[],
4,Santa Cruz,"Santa Cruz, Chile",-34.6372,-71.3631,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Chile,"Santa Cruz, Chile -34.6372,-71.3631","Santa Cruz, Chile "," -34.6372 , -71.3631 "," -34.633333333333 , -71.366666666667","Santa Cruz, Chile -34.6372,-71.3631",[],
5,Santa Cruz,"Santa Cruz, Laguna",14.2808,121.4154,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Laguna,"Santa Cruz, Laguna 14.2808,121.4154","Santa Cruz, Laguna "," 14.2808 , 121.4154 "," 14.283333333333 , 121.41666666667","Santa Cruz, Laguna 14.2808,121.4154",[],
6,Santa Cruz,"Santa Cruz, Rio de Janeiro",-22.9203,-43.685,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Rio_de_Janeiro,"Santa Cruz, Rio de Janeiro -22.9203,-43.685","Santa Cruz, Rio de Janeiro "," -22.9203 , -43.685 "," -22.92027778 , -43.685","Santa Cruz, Rio de Janeiro -22.9203,-43.685","[(14.2814, 121.4161), (14.2814, 121.4161)]",18176.5239953276
7,Santa Cruz,"Santa Cruz, Zambales",15.767,119.909,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Zambales,"Santa Cruz, Zambales 15.767,119.909","Santa Cruz, Zambales "," 15.767 , 119.909 "," 15.766666666667 , 119.91666666667","Santa Cruz, Zambales 15.767,119.909",[],
8,Santa Cruz,"Santa Cruz, Davao del Sur",6.837,125.413,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Davao_del_Sur,"Santa Cruz, Davao del Sur 6.837,125.413","Santa Cruz, Davao del Sur "," 6.837 , 125.413 "," 6.8333333333333 , 125.41666666667","Santa Cruz, Davao del Sur 6.837,125.413",[],
9,Santa Cruz,"Santa Cruz, New Mexico",35.9936,106.0419,http://en.wikipedia.org/wiki/Santa_Cruz%2C_New_Mexico,"Santa Cruz, New Mexico 35.9936,106.0419","Santa Cruz, New Mexico "," 35.9936 , 106.0419 "," 35.9936 , -106.042","Santa Cruz, New Mexico 35.9936,106.0419","[(36.97412, -122.0308), (36.97412, -122.0308), (36.97412, -122.0308)]",1431.918835744953
