,name,lat,lon,lgl_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
0,Alexandria,31.3113,-92.4451,"Alexandria 31.3113,-92.4451",Alexandria ," 31.3113 , -92.4451 "," 31.2928 , -92.4592","Alexandria 31.3113,-92.4451",[],
1,Rapides Parish,31.1669,-92.4835,"Rapides Parish 31.1669,-92.4835",Rapides Parish ," 31.1669 , -92.4835 "," 31.2 , -92.54","Rapides Parish 31.1669,-92.4835","[(31.36351, -92.58681)]",18.717774186263448
2,Avoyelles Parish,31.0669,-91.9668,"Avoyelles Parish 31.0669,-91.9668",Avoyelles Parish ," 31.0669 , -91.9668 "," 31.07 , -92.0","Avoyelles Parish 31.0669,-91.9668","[(31.07624, -92.00138), (31.07624, -92.00138)]",0.7061954462702055
3,Cottonport,30.9841,-92.0535,"Cottonport 30.9841,-92.0535",Cottonport ," 30.9841 , -92.0535 "," 30.98408 , -92.05346","Cottonport 30.9841,-92.0535",[],
490,Pineville,31.3224,-92.4343,"Pineville 31.3224,-92.4343",Pineville ," 31.3224 , -92.4343 "," 31.3224 , -92.4343","Pineville 31.3224,-92.4343",[],
491,Mansfield,32.0377,-93.7002,"Mansfield 32.0377,-93.7002",Mansfield ," 32.0377 , -93.7002 "," 32.03278 , -93.70222","Mansfield 32.0377,-93.7002",[],
492,Shreveport,32.5252,-93.7502,"Shreveport 32.5252,-93.7502",Shreveport ," 32.5252 , -93.7502 "," 32.5082078 , -93.7629569","Shreveport 32.5252,-93.7502",[],
493,Cook,47.8524,-92.6896,"Cook 47.8524,-92.6896",Cook ," 47.8524 , -92.6896 "," 47.8525 , -92.689722222222","Cook 47.8524,-92.6896",[],
494,Minneapolis,44.98,-93.2638,"Minneapolis 44.98,-93.2638",Minneapolis ," 44.98 , -93.2638 "," 44.9733 , -93.2643","Minneapolis 44.98,-93.2638",[],
495,Minnesota,46.2502,-94.2506,"Minnesota 46.2502,-94.2506",Minnesota ," 46.2502 , -94.2506 "," 46.0 , -94.0","Minnesota 46.2502,-94.2506","[(46.25024, -94.25055), (46.25024, -94.25055), (46.25024, -94.25055), (46.25024, -94.25055), (46.25024, -94.25055)]",33.86891192175656
