,geoNameId,toponym,longitude,latitude,recall
0,2324433.0,Rivers State,6.827660000000001,4.74974,0.5
1,2328926.0,Federal Republic of Nigeria,8.0,10.0,0.0
6,4829764.0,Alabama,-86.75026,32.750409999999995,0.6666666666666666
10,2215636.0,Libya,17.0,28.0,0.625
12,130758.0,Islamic Republic of Iran,53.0,32.0,0.0
13,112931.0,Tehr?n,51.42151,35.694390000000006,0.0
18,4386387.0,Ferguson,-90.30539,38.74422,0.33088235294117646
22,5551752.0,Arizona,-111.50098,34.5003,0.6666666666666666
23,6255146.0,Africa,21.09375,7.1881,0.7076923076923077
26,2657780.0,Abingdon,-1.28278,51.67109,0.5
29,6269131.0,England,-0.70312,52.16045,1.0
31,3305800.0,Direktionsbezirk Leipzig,12.75,51.25,0.0
32,2921044.0,Federal Republic of Germany,10.5,51.5,0.0
34,5815135.0,Washington,-120.50147,47.50012,0.4
36,6252001.0,United States,-98.5,39.76,0.0995850622406639
39,5332921.0,California,-119.75126000000002,37.25022,0.5581395348837209
40,5377887.0,Northern California Preparatory School,-121.43412,38.51518,0.0
49,4562050.0,Washington Square,-75.15268,39.94706,0.0
53,2300660.0,Republic of Ghana,-1.2,8.1,0.0
58,2651347.0,Derby,-1.4766299999999999,52.92276999999999,0.0
63,10630414.0,San Francisco Bay Area,-122.42348999999999,37.77239,0.0
69,5141947.0,United Nations Headquarters,-73.96791999999999,40.74955,0.0
70,5128581.0,New York City,-74.00596999999999,40.71427,0.0
73,1861060.0,Japan,139.75309,35.685359999999996,0.6764705882352942
74,1819730.0,Hong Kong Special Administrative Region,114.16667,22.25,0.0
75,1733045.0,Malaysia,112.5,2.5,0.5384615384615384
76,6942346.0,Southeast Asia,103.00780999999999,12.38293,0.8
78,1724395.0,Province of Bohol,124.16667,9.83333,0.0
79,2134431.0,Republic of Vanuatu,167.0,-16.0,0.0
83,3562981.0,Republic of Cuba,-79.5,22.0,0.0
88,690791.0,Ukraine,32.0,49.0,0.6923076923076923
89,1859449.0,Kinki Chih?,135.5,35.0,0.0
90,1864898.0,Awaji Shima,134.8288,34.3884,0.0
91,2131689.0,Kuril Islands,152.0,46.16667,0.0
98,250441.0,Amman,35.945029999999996,31.95522,1.0
99,99237.0,Republic of Iraq,44.0,33.0,0.0
100,281132.0,Gaza Strip,34.33333,31.41667,0.017857142857142856
126,6930645.0,Parliament,-0.12478,51.49955,0.5
129,4180439.0,Atlanta,-84.38798,33.749,0.6666666666666666
135,5197079.0,Lancaster,-76.30551,40.03788,0.0
139,5133874.0,Rikers Island,-73.88096999999999,40.790659999999995,0.5
141,2637433.0,Southend-on-Sea,0.71433,51.53782,0.0
144,1444364.0,State of ChhattÄ«sgarh,82.0,21.5,0.0
160,953987.0,Republic of South Africa,24.0,-29.0,0.0
162,967476.0,Orkney,26.67272,-26.98023,0.3333333333333333
163,933860.0,Republic of Botswana,24.0,-22.0,0.0
164,2643743.0,London,-0.12574000000000002,51.50853,0.84
165,2635167.0,United Kingdom of Great Britain and Northern Ireland,-2.6953099999999997,54.75844,0.0
180,2629691.0,Republic of Iceland,-18.0,65.0,0.0
182,2632922.0,Bardarbunga,-17.527929999999998,64.63502,0.0
189,294640.0,State of Israel,34.75,31.5,0.0
191,4043542.0,Guam Island,144.75311000000002,13.431029999999998,0.0
200,4752171.0,Cherrystone,-76.0016,37.30625,0.0
201,6254928.0,Virginia,-77.44675,37.548120000000004,0.2
202,5506956.0,Las Vegas,-115.13722,36.17497,0.3333333333333333
203,5586437.0,Boise,-116.20345,43.6135,1.0
204,5514204.0,University of Nevada-Las Vegas,-115.14166999999999,36.10775,0.0
208,163843.0,Syrian Arab Republic,38.0,35.0,0.0
209,2275384.0,Republic of Liberia,-9.5,6.5,0.0
210,2403846.0,Republic of Sierra Leone,-11.5,8.5,0.0
211,4831725.0,Connecticut,-72.66648,41.66704,0.0
217,1253626.0,Uttar Pradesh,80.75,27.25,1.0
218,5913490.0,Calgary,-114.08528999999999,51.05011,0.0
221,4276727.0,Oregon Trail,-94.62550999999999,39.01667,1.0
224,5294810.0,Flagstaff,-111.65127,35.19807,0.0
228,2636534.0,Sunbury-on-Thames,-0.41817,51.40424,0.0
243,4709013.0,Mansfield,-97.14168000000001,32.563190000000006,0.0
245,6269133.0,Middle East,35.85869,33.13906,0.75
255,3617476.0,Republic of Nicaragua,-85.0,13.0,0.0
256,4381444.0,Clay County,-94.42087,39.310520000000004,1.0
261,1694008.0,Republic of the Philippines,122.0,13.0,0.0
268,2337542.0,Imo State,7.16667,5.5,0.0
269,6254930.0,Palestine,35.20329,31.921570000000003,0.29411764705882354
274,2110425.0,Nauru,166.933,-0.517,1.0
275,1831722.0,Kingdom of Cambodia,105.0,13.0,0.0
276,4149007.0,Broward County,-80.45589,26.15186,1.0
282,2413451.0,Gambia,-15.5,13.5,0.6
285,10376997.0,Kensington Gardens,-0.17912999999999998,51.50725,0.0
294,2306104.0,Accra,-0.1969,5.556019999999999,0.5
307,4487042.0,Raleigh,-78.63861,35.7721,0.0
313,1704846.0,Luzon,121.0,16.0,1.0
318,121801.0,OrÃ?Â«mÃ?Â«yeh,45.07605,37.55274,0.0
332,4684888.0,Dallas,-96.80667,32.78306,0.875
346,1735158.0,Petaling Jaya,101.60670999999999,3.1072599999999997,0.0
348,1168873.0,Khyber Pakhtunkhwa Province,72.50237,34.45993,0.0
349,1184196.0,Azad Kashmir,73.9104,33.947179999999996,1.0
351,170063.0,Aleppo,37.16117,36.201240000000006,0.8333333333333334
359,5354752.0,Gustine Gun Club,-120.94048000000001,37.233270000000005,0.0
360,5393108.0,Santa Fe Canal,-120.90465,37.22939,1.0
361,5354747.0,Gustine,-120.99882,37.25772,1.0
362,5372259.0,Merced County,-120.71767,37.19186,1.0
