,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
0,Pandi,"Pandi, Bulacan",14.87,120.95,"https://en.wikipedia.org/wiki/Pandi,_Bulacan","Pandi, Bulacan 14.87,120.95","Pandi, Bulacan "," 14.87 , 120.95 "," 14.866666666667 , 120.95","Pandi, Bulacan 14.87,120.95","[(14.88722, 120.85722), (14.88722, 120.85722), (14.88722, 120.85722), (14.88722, 120.85722), (14.88722, 120.85722)]",10.229429205791197
1,Central Luzon,Central Luzon,15.47,120.75,https://en.wikipedia.org/wiki/Central_Luzon,"Central Luzon 15.47,120.75",Central Luzon ," 15.47 , 120.75 "," 15.466666666667 , 120.75","Central Luzon 15.47,120.75","[(15.30714, 120.79762)]",18.458641654538287
2,Bulacan,Bulacan,15,121.08,https://en.wikipedia.org/wiki/Bulacan,"Bulacan 15,121.08",Bulacan ," 15 , 121.08 "," 15.0 , 121.08333333333","Bulacan 15,121.08","[(15.0, 121.08333), (15.0, 121.08333), (15.0, 121.08333), (15.0, 121.08333), (15.0, 121.08333), (15.0, 121.08333)]",0.0003580203195812458
3,Manaoag,"Manaoag, Pangasinan",16.04,120.48,"https://en.wikipedia.org/wiki/Manaoag,_Pangasinan","Manaoag, Pangasinan 16.04,120.48","Manaoag, Pangasinan "," 16.04 , 120.48 "," 16.043889 , 120.485556","Manaoag, Pangasinan 16.04,120.48","[(16.03333, 120.48333), (16.03333, 120.48333)]",1.197965481708051
4,Pangasinan,Pangasinan,15.92,120.33,https://en.wikipedia.org/wiki/Pangasinan,"Pangasinan 15.92,120.33",Pangasinan ," 15.92 , 120.33 "," 15.916666666667 , 120.33333333333","Pangasinan 15.92,120.33","[(15.91667, 120.33333), (15.91667, 120.33333)]",0.0005142284646430164
5,Palauig,Palauig,15.43,120.05,https://en.wikipedia.org/wiki/Palauig,"Palauig 15.43,120.05",Palauig ," 15.43 , 120.05 "," 15.433333333333 , 120.05","Palauig 15.43,120.05","[(15.45, 120.05)]",1.853251395439884
6,Cabanatuan,Cabanatuan,15.48,120.97,https://en.wikipedia.org/wiki/Cabanatuan,"Cabanatuan 15.48,120.97",Cabanatuan ," 15.48 , 120.97 "," 15.483333333333 , 120.96666666667","Cabanatuan 15.48,120.97","[(15.48333, 120.96667)]",0.0005147545591514428
7,Nueva Ecija,Nueva Ecija,15.58,121,https://en.wikipedia.org/wiki/Nueva_Ecija,"Nueva Ecija 15.58,121",Nueva Ecija ," 15.58 , 121 "," 15.583333333333 , 121.0","Nueva Ecija 15.58,121",[],
8,Zaïre,Democratic Republic of the Congo,-1.44,15.55,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -1.44,15.55",Democratic Republic of the Congo ," -1.44 , 15.55 "," -2.88 , 23.656","Democratic Republic of the Congo -1.44,15.55","[(-6.58717, 13.51966)]",1196.31973360928
9,Bundibugyo,Bundibugyo,0.71,30.06,https://en.wikipedia.org/wiki/Bundibugyo,"Bundibugyo 0.71,30.06",Bundibugyo ," 0.71 , 30.06 "," 0.71117 , 30.06469","Bundibugyo 0.71,30.06","[(0.71117, 30.06469)]",0.0
10,Côte d'Ivoire,Ivory Coast,8,-5,https://en.wikipedia.org/wiki/Ivory_Coast,"Ivory Coast 8,-5",Ivory Coast ," 8 , -5 "," 8.0 , -6.0","Ivory Coast 8,-5","[(8.0, -5.5), (8.0, -5.5)]",55.05646702274821
11,Cote d'Ivoire,Ivory Coast,8,-5,https://en.wikipedia.org/wiki/Ivory_Coast,"Ivory Coast 8,-5",Ivory Coast ," 8 , -5 "," 8.0 , -6.0","Ivory Coast 8,-5","[(8.0, -5.5)]",55.05646702274821
12,Sudan,Sudan,15,32,https://en.wikipedia.org/wiki/Sudan,"Sudan 15,32",Sudan ," 15 , 32 "," 15.0 , 32.0","Sudan 15,32","[(16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0), (16.0, 30.0)]",241.42887007690692
14,Quezon City,Quezon City,14.63,121.03,https://en.wikipedia.org/wiki/Quezon_City,"Quezon City 14.63,121.03",Quezon City ," 14.63 , 121.03 "," 14.633333333333 , 121.03333333333","Quezon City 14.63,121.03","[(14.6488, 121.0509)]",2.555286645466849
15,Talavera,"Talavera, Nueva Ecija",15.58,120.91,"https://en.wikipedia.org/wiki/Talavera,_Nueva_Ecija","Talavera, Nueva Ecija 15.58,120.91","Talavera, Nueva Ecija "," 15.58 , 120.91 "," 15.583888888889 , 120.91888888889","Talavera, Nueva Ecija 15.58,120.91",[],
