,name,wikipedia_name,lat,lon,page,wiktor_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
0,Santa Maria,"Santa Maria, California",34.9514,-120.4333,http://en.wikipedia.org/wiki/Santa_Maria%2C_California,"Santa Maria, California 34.9514,-120.4333","Santa Maria, California "," 34.9514 , -120.4333 "," 34.951388888889 , -120.43333333333","Santa Maria, California 34.9514,-120.4333",[],
1,Santa Maria,"Santa Maria, Bulacan",14.8208,120.9636,http://en.wikipedia.org/wiki/Santa_Maria%2C_Bulacan,"Santa Maria, Bulacan 14.8208,120.9636","Santa Maria, Bulacan "," 14.8208 , 120.9636 "," 14.818333333333 , 120.95633333333","Santa Maria, Bulacan 14.8208,120.9636","[(16.15687, 119.92664)]",185.27548301811407
2,Santa Maria,"Santa Maria, Ilocos Sur",17.3585,120.4981,http://en.wikipedia.org/wiki/Santa_Maria%2C_Ilocos_Sur,"Santa Maria, Ilocos Sur 17.3585,120.4981","Santa Maria, Ilocos Sur "," 17.3585 , 120.4981 "," 17.366666666667 , 120.48333333333","Santa Maria, Ilocos Sur 17.3585,120.4981","[(17.3906, 120.4587), (17.3906, 120.4587), (17.3906, 120.4587)]",3.730377453180476
3,Santa Maria,"Santa Maria, Romblon",12.4417,122.1042,http://en.wikipedia.org/wiki/Santa_Maria%2C_Romblon,"Santa Maria, Romblon 12.4417,122.1042","Santa Maria, Romblon "," 12.4417 , 122.1042 "," 12.441667 , 122.104167","Santa Maria, Romblon 12.4417,122.1042",[],
4,Santa Cruz,"Santa Cruz, Chile",-34.6372,-71.3631,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Chile,"Santa Cruz, Chile -34.6372,-71.3631","Santa Cruz, Chile "," -34.6372 , -71.3631 "," -34.633333333333 , -71.366666666667","Santa Cruz, Chile -34.6372,-71.3631","[(-34.63881, -71.36576), (-34.63881, -71.36576), (-34.63881, -71.36576), (-34.63881, -71.36576)]",0.6146018232155928
5,Santa Cruz,"Santa Cruz, Laguna",14.2808,121.4154,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Laguna,"Santa Cruz, Laguna 14.2808,121.4154","Santa Cruz, Laguna "," 14.2808 , 121.4154 "," 14.283333333333 , 121.41666666667","Santa Cruz, Laguna 14.2808,121.4154","[(15.7654, 119.9092), (15.7654, 119.9092), (15.7654, 119.9092), (15.7654, 119.9092), (15.7654, 119.9092)]",231.01072767585663
6,Santa Cruz,"Santa Cruz, Rio de Janeiro",-22.9203,-43.685,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Rio_de_Janeiro,"Santa Cruz, Rio de Janeiro -22.9203,-43.685","Santa Cruz, Rio de Janeiro "," -22.9203 , -43.685 "," -22.92027778 , -43.685","Santa Cruz, Rio de Janeiro -22.9203,-43.685","[(-23.16667, -47.86667), (-23.16667, -47.86667)]",428.74064216689044
7,Santa Cruz,"Santa Cruz, Zambales",15.767,119.909,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Zambales,"Santa Cruz, Zambales 15.767,119.909","Santa Cruz, Zambales "," 15.767 , 119.909 "," 15.766666666667 , 119.91666666667","Santa Cruz, Zambales 15.767,119.909","[(15.7654, 119.9092), (15.7654, 119.9092)]",0.8113406492447269
8,Santa Cruz,"Santa Cruz, Davao del Sur",6.837,125.413,http://en.wikipedia.org/wiki/Santa_Cruz%2C_Davao_del_Sur,"Santa Cruz, Davao del Sur 6.837,125.413","Santa Cruz, Davao del Sur "," 6.837 , 125.413 "," 6.8333333333333 , 125.41666666667","Santa Cruz, Davao del Sur 6.837,125.413","[(8.632, 123.692), (8.632, 123.692), (8.632, 123.692)]",275.8796821883661
9,Santa Cruz,"Santa Cruz, New Mexico",35.9936,106.0419,http://en.wikipedia.org/wiki/Santa_Cruz%2C_New_Mexico,"Santa Cruz, New Mexico 35.9936,106.0419","Santa Cruz, New Mexico "," 35.9936 , 106.0419 "," 35.9936 , -106.042","Santa Cruz, New Mexico 35.9936,106.0419","[(35.99225, -106.04725), (35.99225, -106.04725)]",0.49560619565823805
10,Victoria,"Victoria, British Columbia",48.4263,-123.3649,http://en.wikipedia.org/wiki/Victoria%2C_British_Columbia,"Victoria, British Columbia 48.4263,-123.3649","Victoria, British Columbia "," 48.4263 , -123.3649 "," 48.422151 , -123.3657","Victoria, British Columbia 48.4263,-123.3649","[(48.43294, -123.3693), (48.43294, -123.3693), (48.43294, -123.3693), (48.43294, -123.3693)]",1.2287387652720536
11,Victoria,"Victoria, Seychelles",-4.6236,55.4544,http://en.wikipedia.org/wiki/Victoria%2C_Seychelles,"Victoria, Seychelles -4.6236,55.4544","Victoria, Seychelles "," -4.6236 , 55.4544 "," -4.6236111111111 , 55.454444444444","Victoria, Seychelles -4.6236,55.4544","[(-4.61667, 55.45), (-4.61667, 55.45), (-4.61667, 55.45), (-4.61667, 55.45)]",0.9156153764688767
12,Victoria,"Victoria, Gozo",36.0453,14.2417,http://en.wikipedia.org/wiki/Victoria%2C_Gozo,"Victoria, Gozo 36.0453,14.2417","Victoria, Gozo "," 36.0453 , 14.2417 "," 36.05 , 14.25","Victoria, Gozo 36.0453,14.2417","[(37.85275, 15.28727), (37.85275, 15.28727), (37.85275, 15.28727)]",220.62833622857318
13,Victoria,"Victoria, Kansas",38.8536,-99.1475,http://en.wikipedia.org/wiki/Victoria%2C_Kansas,"Victoria, Kansas 38.8536,-99.1475","Victoria, Kansas "," 38.8536 , -99.1475 "," 38.8536 , -99.1475","Victoria, Kansas 38.8536,-99.1475","[(38.85279, -99.1476), (38.85279, -99.1476), (38.85279, -99.1476), (38.85279, -99.1476), (38.85279, -99.1476), (31.20439, -81.98123)]",0.09048332850698246
14,Lima,Lima,-12.0453,-77.0311,http://en.wikipedia.org/wiki/Lima,"Lima -12.0453,-77.0311",Lima ," -12.0453 , -77.0311 "," -12.05 , -77.033333333333","Lima -12.0453,-77.0311","[(-11.85, -76.45), (-11.85, -76.45), (-11.85, -76.45), (-11.85, -76.45)]",67.24209944085888
15,Lima,"Lima, Ohio",40.7408,-84.115,http://en.wikipedia.org/wiki/Lima%2C_Ohio,"Lima, Ohio 40.7408,-84.115","Lima, Ohio "," 40.7408 , -84.115 "," 40.740833333333 , -84.115","Lima, Ohio 40.7408,-84.115","[(41.72144, -85.42054), (41.72144, -85.42054), (41.72144, -85.42054), (41.72144, -85.42054), (41.72144, -85.42054)]",154.29710905241646
16,Lima,"Lima, Oklahoma",35.1733,-96.5983,http://en.wikipedia.org/wiki/Lima%2C_Oklahoma,"Lima, Oklahoma 35.1733,-96.5983","Lima, Oklahoma "," 35.1733 , -96.5983 "," 35.173333333333 , -96.598333333333","Lima, Oklahoma 35.1733,-96.5983","[(35.17397, -96.59974), (35.17397, -96.59974)]",0.14614596001698593
