,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
0,Pandi,"Pandi, Bulacan",14.87,120.95,"https://en.wikipedia.org/wiki/Pandi,_Bulacan","Pandi, Bulacan 14.87,120.95","Pandi, Bulacan "," 14.87 , 120.95 "," 14.866666666667 , 120.95","Pandi, Bulacan 14.87,120.95","[(14.865, 120.95722)]",0.7977813125152952
1,Central Luzon,Central Luzon,15.47,120.75,https://en.wikipedia.org/wiki/Central_Luzon,"Central Luzon 15.47,120.75",Central Luzon ," 15.47 , 120.75 "," 15.466666666667 , 120.75","Central Luzon 15.47,120.75",[],
2,Bulacan,Bulacan,15,121.08,https://en.wikipedia.org/wiki/Bulacan,"Bulacan 15,121.08",Bulacan ," 15 , 121.08 "," 15.0 , 121.08333333333","Bulacan 15,121.08","[(14.79945, 120.94436)]",26.83857560133647
3,Manaoag,"Manaoag, Pangasinan",16.04,120.48,"https://en.wikipedia.org/wiki/Manaoag,_Pangasinan","Manaoag, Pangasinan 16.04,120.48","Manaoag, Pangasinan "," 16.04 , 120.48 "," 16.043889 , 120.485556","Manaoag, Pangasinan 16.04,120.48",[],
4,Pangasinan,Pangasinan,15.92,120.33,https://en.wikipedia.org/wiki/Pangasinan,"Pangasinan 15.92,120.33",Pangasinan ," 15.92 , 120.33 "," 15.916666666667 , 120.33333333333","Pangasinan 15.92,120.33",[],
5,Palauig,Palauig,15.43,120.05,https://en.wikipedia.org/wiki/Palauig,"Palauig 15.43,120.05",Palauig ," 15.43 , 120.05 "," 15.433333333333 , 120.05","Palauig 15.43,120.05",[],
6,Cabanatuan,Cabanatuan,15.48,120.97,https://en.wikipedia.org/wiki/Cabanatuan,"Cabanatuan 15.48,120.97",Cabanatuan ," 15.48 , 120.97 "," 15.483333333333 , 120.96666666667","Cabanatuan 15.48,120.97",[],
7,Nueva Ecija,Nueva Ecija,15.58,121,https://en.wikipedia.org/wiki/Nueva_Ecija,"Nueva Ecija 15.58,121",Nueva Ecija ," 15.58 , 121 "," 15.583333333333 , 121.0","Nueva Ecija 15.58,121",[],
8,Zaïre,Democratic Republic of the Congo,-1.44,15.55,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -1.44,15.55",Democratic Republic of the Congo ," -1.44 , 15.55 "," -2.88 , 23.656","Democratic Republic of the Congo -1.44,15.55",[],
9,Bundibugyo,Bundibugyo,0.71,30.06,https://en.wikipedia.org/wiki/Bundibugyo,"Bundibugyo 0.71,30.06",Bundibugyo ," 0.71 , 30.06 "," 0.71117 , 30.06469","Bundibugyo 0.71,30.06",[],
10,Côte d'Ivoire,Ivory Coast,8,-5,https://en.wikipedia.org/wiki/Ivory_Coast,"Ivory Coast 8,-5",Ivory Coast ," 8 , -5 "," 8.0 , -6.0","Ivory Coast 8,-5",[],
11,Cote d'Ivoire,Ivory Coast,8,-5,https://en.wikipedia.org/wiki/Ivory_Coast,"Ivory Coast 8,-5",Ivory Coast ," 8 , -5 "," 8.0 , -6.0","Ivory Coast 8,-5","[(8.0, -5.5)]",55.05646702274821
12,Sudan,Sudan,15,32,https://en.wikipedia.org/wiki/Sudan,"Sudan 15,32",Sudan ," 15 , 32 "," 15.0 , 32.0","Sudan 15,32","[(16.0, 30.0), (16.0, 30.0)]",241.42887007690692
14,Quezon City,Quezon City,14.63,121.03,https://en.wikipedia.org/wiki/Quezon_City,"Quezon City 14.63,121.03",Quezon City ," 14.63 , 121.03 "," 14.633333333333 , 121.03333333333","Quezon City 14.63,121.03","[(14.6488, 121.0509)]",2.555286645466849
15,Talavera,"Talavera, Nueva Ecija",15.58,120.91,"https://en.wikipedia.org/wiki/Talavera,_Nueva_Ecija","Talavera, Nueva Ecija 15.58,120.91","Talavera, Nueva Ecija "," 15.58 , 120.91 "," 15.583888888889 , 120.91888888889","Talavera, Nueva Ecija 15.58,120.91","[(15.5883, 120.9192)]",0.4916244366243504
16,Eastern Visayas,Eastern Visayas,11.24,125.05,https://en.wikipedia.org/wiki/Eastern_Visayas,"Eastern Visayas 11.24,125.05",Eastern Visayas ," 11.24 , 125.05 "," 11.24 , 125.04972222222","Eastern Visayas 11.24,125.05",[],
17,Tacloban,Tacloban,11.24,125,https://en.wikipedia.org/wiki/Tacloban,"Tacloban 11.24,125",Tacloban ," 11.24 , 125 "," 11.244444444444 , 125.00388888889","Tacloban 11.24,125","[(11.24333, 125.00472)]",0.15353260322663648
18,Babatngon,"Babatngon, Leyte",11.42,124.85,"https://en.wikipedia.org/wiki/Babatngon,_Leyte","Babatngon, Leyte 11.42,124.85","Babatngon, Leyte "," 11.42 , 124.85 "," 11.416666666667 , 124.85","Babatngon, Leyte 11.42,124.85","[(11.4238, 124.8449)]",0.9685769172676235
19,Texas,Texas,31,-100,https://en.wikipedia.org/wiki/Texas,"Texas 31,-100",Texas ," 31 , -100 "," 31.0 , -100.0","Texas 31,-100","[(31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061), (31.25044, -99.25061)]",76.57533089886559
20,Liberia,Liberia,6.5,-9.5,https://en.wikipedia.org/wiki/Liberia,"Liberia 6.5,-9.5",Liberia ," 6.5 , -9.5 "," 6.533333 , -9.75","Liberia 6.5,-9.5","[(6.5, -9.5), (6.5, -9.5)]",27.86675154482585
21,US,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
22,United States,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
23,U.S.,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5), (39.76, -98.5)]",1844.2224416621348
24,USA,United States,40,-100,https://en.wikipedia.org/wiki/United_States,"United States 40,-100",United States ," 40 , -100 "," 38.895 , -77.036666666667","United States 40,-100","[(39.76, -98.5)]",1844.2224416621348
25,Fort Hood,Fort Hood,31.13,-97.78,https://en.wikipedia.org/wiki/Fort_Hood,"Fort Hood 31.13,-97.78",Fort Hood ," 31.13 , -97.78 "," 31.13 , -97.78","Fort Hood 31.13,-97.78",[],
26,Africa,Africa,7.18,21.09,https://en.wikipedia.org/wiki/Africa,"Africa 7.18,21.09",Africa ," 7.18 , 21.09 "," 1.0 , 17.0","Africa 7.18,21.09","[(7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375), (7.1881, 21.09375)]",824.2657799371922
27,Washington,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01","[(38.89511, -77.03637)]",0.028439095358172756
28,D.C.,"Washington, D.C.",38.90,-77.01,"https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C. 38.90,-77.01","Washington, D.C. "," 38.90 , -77.01 "," 38.895 , -77.036666666667","Washington, D.C. 38.90,-77.01","[(38.91706, -77.00025)]",3.993313526019066
